방송일시,노출(분),상품명,상품군,판매단가,월,일,시,요일,휴일,프라임,파트,브랜드,분,취급액_로그,결제유형,성별,상품,단가,Mean,Std
2019-01-06 19:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,6,19,Sunday,1,3,Middle,노비타,20,17.92303455529849,해당없음,해당없음,노비타,해당없음,16.513164256253155,1.113084056797187
2019-01-06 19:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,6,19,Sunday,1,3,Later,노비타,40,18.537227460125113,해당없음,해당없음,노비타,해당없음,16.513164256253155,1.113084056797187
2019-01-07 00:00:00,30.0,스위스밀리터리 전동공구세트,생활용품,138000,1,7,0,Monday,0,4,First,스위스밀리터리,00,17.06413934098182,해당없음,해당없음,스위스밀리터리,해당없음,16.11991961551697,1.190978289140174
2019-01-07 00:30:00,30.0,스위스밀리터리 전동공구세트,생활용품,138000,1,7,0,Monday,0,4,Later,스위스밀리터리,30,17.874297024785662,해당없음,해당없음,스위스밀리터리,해당없음,16.11991961551697,1.190978289140174
2019-01-07 19:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,7,19,Monday,0,3,First,노비타,00,17.02243525171272,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-01-07 19:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,7,19,Monday,0,3,Middle,노비타,20,17.633552499921525,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-01-07 19:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,7,19,Monday,0,3,Later,노비타,40,18.29794797857007,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-01-09 20:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,9,20,Wednesday,0,3,First,노비타,00,17.21253256821595,해당없음,해당없음,노비타,해당없음,16.93768417110416,0.9155447552097885
2019-01-09 20:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,9,20,Wednesday,0,3,Middle,노비타,20,18.049182185407474,해당없음,해당없음,노비타,해당없음,16.93768417110416,0.9155447552097885
2019-01-09 20:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,9,20,Wednesday,0,3,Later,노비타,40,18.02413573321876,해당없음,해당없음,노비타,해당없음,16.93768417110416,0.9155447552097885
2019-01-10 06:00:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,1,10,6,Thursday,0,4,First,메디쉴드,00,14.331323723241304,일시불,해당없음,메디쉴드,해당없음,15.791248893771947,0.8730267584314295
2019-01-10 06:00:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,1,10,6,Thursday,0,4,First,메디쉴드,00,14.372838015381685,무이자,해당없음,메디쉴드,해당없음,15.791248893771947,0.8730267584314295
2019-01-10 06:20:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,1,10,6,Thursday,0,4,Middle,메디쉴드,20,15.783741170308108,일시불,해당없음,메디쉴드,해당없음,15.791248893771947,0.8730267584314295
2019-01-10 06:20:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,1,10,6,Thursday,0,4,Middle,메디쉴드,20,15.416512991577273,무이자,해당없음,메디쉴드,해당없음,15.791248893771947,0.8730267584314295
2019-01-10 06:40:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,1,10,6,Thursday,0,4,Later,메디쉴드,40,16.58728644994703,일시불,해당없음,메디쉴드,해당없음,15.791248893771947,0.8730267584314295
2019-01-10 06:40:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,1,10,6,Thursday,0,4,Later,메디쉴드,40,15.854520653849772,무이자,해당없음,메디쉴드,해당없음,15.791248893771947,0.8730267584314295
2019-01-13 22:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,13,22,Sunday,1,4,First,노비타,00,16.755518682745905,해당없음,해당없음,노비타,해당없음,16.117429725714626,0.9968617253956885
2019-01-13 22:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,13,22,Sunday,1,4,Middle,노비타,20,17.357136326544747,해당없음,해당없음,노비타,해당없음,16.117429725714626,0.9968617253956885
2019-01-13 22:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,13,22,Sunday,1,4,Later,노비타,40,18.186830075494466,해당없음,해당없음,노비타,해당없음,16.117429725714626,0.9968617253956885
2019-01-14 19:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,14,19,Monday,0,3,First,노비타,00,16.93628832049249,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-01-14 19:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,14,19,Monday,0,3,Middle,노비타,20,17.43792964537794,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-01-14 19:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,14,19,Monday,0,3,Later,노비타,40,18.0367080111823,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-01-16 12:00:00,20.0,코이모 리빙박스 8종,생활용품,49800,1,16,12,Wednesday,0,3,First,코이모,00,16.700031902182264,해당없음,해당없음,코이모,해당없음,16.81941101643252,0.9234665467723607
2019-01-16 12:20:00,20.0,코이모 리빙박스 8종,생활용품,49800,1,16,12,Wednesday,0,3,Middle,코이모,20,17.12045398126987,해당없음,해당없음,코이모,해당없음,16.81941101643252,0.9234665467723607
2019-01-16 12:40:00,20.0,코이모 리빙박스 8종,생활용품,49800,1,16,12,Wednesday,0,3,Later,코이모,40,17.670158655531097,해당없음,해당없음,코이모,해당없음,16.81941101643252,0.9234665467723607
2019-01-17 10:00:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,1,17,10,Thursday,0,2,First,메디쉴드,00,15.390357025628756,일시불,해당없음,메디쉴드,해당없음,16.035967051059313,1.0036506021017793
2019-01-17 10:00:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,1,17,10,Thursday,0,2,First,메디쉴드,00,15.581781264425162,무이자,해당없음,메디쉴드,해당없음,16.035967051059313,1.0036506021017793
2019-01-17 10:20:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,1,17,10,Thursday,0,2,Middle,메디쉴드,20,16.823023170053798,일시불,해당없음,메디쉴드,해당없음,16.035967051059313,1.0036506021017793
2019-01-17 10:20:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,1,17,10,Thursday,0,2,Middle,메디쉴드,20,16.22299606078369,무이자,해당없음,메디쉴드,해당없음,16.035967051059313,1.0036506021017793
2019-01-17 10:40:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,1,17,10,Thursday,0,2,Later,메디쉴드,40,16.970679515774762,일시불,해당없음,메디쉴드,해당없음,16.035967051059313,1.0036506021017793
2019-01-17 10:40:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,1,17,10,Thursday,0,2,Later,메디쉴드,40,16.968417505890265,무이자,해당없음,메디쉴드,해당없음,16.035967051059313,1.0036506021017793
2019-01-18 10:00:00,20.0,씨엔지코리아 방역용마스크 KF94 60매,생활용품,40900,1,18,10,Friday,0,2,First,씨엔지코리아,00,16.42734350132466,해당없음,해당없음,씨엔지코리아,해당없음,16.55190179394298,1.1326894635326734
2019-01-18 10:20:00,20.0,씨엔지코리아 방역용마스크 KF94 60매,생활용품,40900,1,18,10,Friday,0,2,Middle,씨엔지코리아,20,16.911631005549534,해당없음,해당없음,씨엔지코리아,해당없음,16.55190179394298,1.1326894635326734
2019-01-18 10:40:00,20.0,씨엔지코리아 방역용마스크 KF94 60매,생활용품,40900,1,18,10,Friday,0,2,Later,씨엔지코리아,40,16.945817429814486,해당없음,해당없음,씨엔지코리아,해당없음,16.55190179394298,1.1326894635326734
2019-01-18 19:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,18,19,Friday,0,3,First,노비타,00,16.46621409221393,해당없음,해당없음,노비타,해당없음,17.316412194483227,0.6218064118110911
2019-01-18 19:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,18,19,Friday,0,3,Middle,노비타,20,17.418396298911233,해당없음,해당없음,노비타,해당없음,17.316412194483227,0.6218064118110911
2019-01-18 19:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,18,19,Friday,0,3,Later,노비타,40,17.832073742666346,해당없음,해당없음,노비타,해당없음,17.316412194483227,0.6218064118110911
2019-01-19 06:00:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,1,19,6,Saturday,1,4,First,메디쉴드,00,15.009433026436708,일시불,해당없음,메디쉴드,해당없음,16.015284651302192,0.9918599169935068
2019-01-19 06:00:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,1,19,6,Saturday,1,4,First,메디쉴드,00,15.472976439408956,무이자,해당없음,메디쉴드,해당없음,16.015284651302192,0.9918599169935068
2019-01-19 06:20:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,1,19,6,Saturday,1,4,Middle,메디쉴드,20,15.683767998165054,일시불,해당없음,메디쉴드,해당없음,16.015284651302192,0.9918599169935068
2019-01-19 06:20:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,1,19,6,Saturday,1,4,Middle,메디쉴드,20,15.736835231546973,무이자,해당없음,메디쉴드,해당없음,16.015284651302192,0.9918599169935068
2019-01-19 06:40:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,1,19,6,Saturday,1,4,Later,메디쉴드,40,15.816720251374536,일시불,해당없음,메디쉴드,해당없음,16.015284651302192,0.9918599169935068
2019-01-19 06:40:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,1,19,6,Saturday,1,4,Later,메디쉴드,40,16.30598501205574,무이자,해당없음,메디쉴드,해당없음,16.015284651302192,0.9918599169935068
2019-01-19 21:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,19,21,Saturday,1,4,First,노비타,00,17.027160337740735,해당없음,해당없음,노비타,해당없음,16.44037069541652,1.1252701457246426
2019-01-19 21:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,19,21,Saturday,1,4,Middle,노비타,20,17.72069020091041,해당없음,해당없음,노비타,해당없음,16.44037069541652,1.1252701457246426
2019-01-19 21:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,19,21,Saturday,1,4,Later,노비타,40,18.179487777566873,해당없음,해당없음,노비타,해당없음,16.44037069541652,1.1252701457246426
2019-01-21 20:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,21,20,Monday,0,3,First,노비타,00,17.043425407483145,해당없음,해당없음,노비타,해당없음,16.478529087285334,0.92673458067535
2019-01-21 20:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,21,20,Monday,0,3,Middle,노비타,20,17.571651385387014,해당없음,해당없음,노비타,해당없음,16.478529087285334,0.92673458067535
2019-01-21 20:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,21,20,Monday,0,3,Later,노비타,40,18.22918119797262,해당없음,해당없음,노비타,해당없음,16.478529087285334,0.92673458067535
2019-01-22 13:00:00,20.0,씨엔지코리아 방역용마스크 KF94 60매,생활용품,40900,1,22,13,Tuesday,0,2,First,씨엔지코리아,00,15.920132398174408,해당없음,해당없음,씨엔지코리아,해당없음,16.755368924642863,0.5207682197275478
2019-01-22 13:20:00,20.0,씨엔지코리아 방역용마스크 KF94 60매,생활용품,40900,1,22,13,Tuesday,0,2,Middle,씨엔지코리아,20,16.56796034636317,해당없음,해당없음,씨엔지코리아,해당없음,16.755368924642863,0.5207682197275478
2019-01-22 13:40:00,20.0,씨엔지코리아 방역용마스크 KF94 60매,생활용품,40900,1,22,13,Tuesday,0,2,Later,씨엔지코리아,40,16.594578246301765,해당없음,해당없음,씨엔지코리아,해당없음,16.755368924642863,0.5207682197275478
2019-01-24 19:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,24,19,Thursday,0,3,First,노비타,00,16.369865531060853,해당없음,해당없음,노비타,해당없음,17.067788210048953,0.8230538166283942
2019-01-24 19:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,24,19,Thursday,0,3,Middle,노비타,20,16.928403451291842,해당없음,해당없음,노비타,해당없음,17.067788210048953,0.8230538166283942
2019-01-24 19:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,24,19,Thursday,0,3,Later,노비타,40,17.99436475932673,해당없음,해당없음,노비타,해당없음,17.067788210048953,0.8230538166283942
2019-01-25 14:00:00,20.0,크린조이 황사 방역마스크 대형 105매,생활용품,59900,1,25,14,Friday,0,2,First,대,00,16.233386695293053,해당없음,해당없음,대,해당없음,16.05163013077383,0.9682745166645397
2019-01-25 14:00:00,20.0,크린조이 황사 방역마스크 소형 105매,생활용품,59900,1,25,14,Friday,0,2,First,크린조이,00,14.065490763232043,해당없음,해당없음,크린조이,해당없음,16.05163013077383,0.9682745166645397
2019-01-25 14:20:00,20.0,크린조이 황사 방역마스크 대형 105매,생활용품,59900,1,25,14,Friday,0,2,Middle,대,20,16.93438923633997,해당없음,해당없음,대,해당없음,16.05163013077383,0.9682745166645397
2019-01-25 14:20:00,20.0,크린조이 황사 방역마스크 소형 105매,생활용품,59900,1,25,14,Friday,0,2,Middle,크린조이,20,15.239341522612891,해당없음,해당없음,크린조이,해당없음,16.05163013077383,0.9682745166645397
2019-01-25 14:40:00,20.0,크린조이 황사 방역마스크 대형 105매,생활용품,59900,1,25,14,Friday,0,2,Later,대,40,17.212097327068747,해당없음,해당없음,대,해당없음,16.05163013077383,0.9682745166645397
2019-01-25 14:40:00,20.0,크린조이 황사 방역마스크 소형 105매,생활용품,59900,1,25,14,Friday,0,2,Later,크린조이,40,15.570606042820737,해당없음,해당없음,크린조이,해당없음,16.05163013077383,0.9682745166645397
2019-01-26 20:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,26,20,Saturday,1,3,First,노비타,00,16.475770095230136,해당없음,해당없음,노비타,해당없음,16.774308373132385,1.2778425150043222
2019-01-26 20:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,26,20,Saturday,1,3,Middle,노비타,20,17.49008822736735,해당없음,해당없음,노비타,해당없음,16.774308373132385,1.2778425150043222
2019-01-26 20:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,26,20,Saturday,1,3,Later,노비타,40,17.943692780932185,해당없음,해당없음,노비타,해당없음,16.774308373132385,1.2778425150043222
2019-01-28 19:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,28,19,Monday,0,3,First,노비타,00,16.786745199917863,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-01-28 19:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,28,19,Monday,0,3,Middle,노비타,20,17.651537656364496,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-01-28 19:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,28,19,Monday,0,3,Later,노비타,40,17.888325001636012,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-01-31 20:00:00,20.0,노비타 스마트 비데,생활용품,189000,1,31,20,Thursday,0,3,First,노비타,00,16.7015395664263,해당없음,해당없음,노비타,해당없음,16.42033305305354,1.0437312988883944
2019-01-31 20:20:00,20.0,노비타 스마트 비데,생활용품,189000,1,31,20,Thursday,0,3,Middle,노비타,20,17.523187232161117,해당없음,해당없음,노비타,해당없음,16.42033305305354,1.0437312988883944
2019-01-31 20:40:00,20.0,노비타 스마트 비데,생활용품,189000,1,31,20,Thursday,0,3,Later,노비타,40,17.784688643893478,해당없음,해당없음,노비타,해당없음,16.42033305305354,1.0437312988883944
2019-02-04 13:00:00,20.0,코이모 리빙박스 8종,생활용품,49800,2,4,13,Monday,2,2,First,코이모,00,16.574887386231826,해당없음,해당없음,코이모,해당없음,16.9279727591426,0.5173328230078101
2019-02-04 13:20:00,20.0,코이모 리빙박스 8종,생활용품,49800,2,4,13,Monday,2,2,Middle,코이모,20,17.271606394273867,해당없음,해당없음,코이모,해당없음,16.9279727591426,0.5173328230078101
2019-02-04 13:40:00,20.0,코이모 리빙박스 8종,생활용품,49800,2,4,13,Monday,2,2,Later,코이모,40,17.611291839304858,해당없음,해당없음,코이모,해당없음,16.9279727591426,0.5173328230078101
2019-02-04 19:00:00,20.0,노비타 스마트 비데,생활용품,189000,2,4,19,Monday,2,3,First,노비타,00,16.931156928183604,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-02-04 19:20:00,20.0,노비타 스마트 비데,생활용품,189000,2,4,19,Monday,2,3,Middle,노비타,20,17.455829821462835,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-02-04 19:40:00,20.0,노비타 스마트 비데,생활용품,189000,2,4,19,Monday,2,3,Later,노비타,40,17.946412032159255,해당없음,해당없음,노비타,해당없음,17.03699669912316,0.9564950657463229
2019-02-06 08:00:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,2,6,8,Wednesday,2,3,First,메디쉴드,00,14.695552157163307,일시불,해당없음,메디쉴드,해당없음,16.574513992411447,0.8269441858248631
2019-02-06 08:00:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,2,6,8,Wednesday,2,3,First,메디쉴드,00,15.124113611368292,무이자,해당없음,메디쉴드,해당없음,16.574513992411447,0.8269441858248631
2019-02-06 08:20:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,2,6,8,Wednesday,2,3,Middle,메디쉴드,20,16.439019057189903,일시불,해당없음,메디쉴드,해당없음,16.574513992411447,0.8269441858248631
2019-02-06 08:20:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,2,6,8,Wednesday,2,3,Middle,메디쉴드,20,16.46423529298167,무이자,해당없음,메디쉴드,해당없음,16.574513992411447,0.8269441858248631
2019-02-06 08:40:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,2,6,8,Wednesday,2,3,Later,메디쉴드,40,16.788997222570945,일시불,해당없음,메디쉴드,해당없음,16.574513992411447,0.8269441858248631
2019-02-06 08:40:00,20.0,메디쉴드 자동 목 견인기기,생활용품,248000,2,6,8,Wednesday,2,3,Later,메디쉴드,40,16.833297822299098,무이자,해당없음,메디쉴드,해당없음,16.574513992411447,0.8269441858248631
2019-02-06 19:00:00,20.0,노비타 스마트 비데,생활용품,189000,2,6,19,Wednesday,2,3,First,노비타,00,17.16506370647409,해당없음,해당없음,노비타,해당없음,16.64383460055625,1.133944066025624
2019-02-06 19:20:00,20.0,노비타 스마트 비데,생활용품,189000,2,6,19,Wednesday,2,3,Middle,노비타,20,17.90803680137959,해당없음,해당없음,노비타,해당없음,16.64383460055625,1.133944066025624
2019-02-06 19:40:00,20.0,노비타 스마트 비데,생활용품,189000,2,6,19,Wednesday,2,3,Later,노비타,40,18.45954562457399,해당없음,해당없음,노비타,해당없음,16.64383460055625,1.133944066025624
2019-02-07 06:00:00,20.0,크린조이 황사 방역마스크 대형 105매,생활용품,59900,2,7,6,Thursday,0,4,First,대,00,14.990466413219718,해당없음,해당없음,대,해당없음,15.791248893771947,0.8730267584314295
2019-02-07 06:20:00,20.0,크린조이 황사 방역마스크 대형 105매,생활용품,59900,2,7,6,Thursday,0,4,Middle,대,20,15.778558722964261,해당없음,해당없음,대,해당없음,15.791248893771947,0.8730267584314295
2019-02-07 06:20:00,20.0,크린조이 황사 방역마스크 소형 105매,생활용품,59900,2,7,6,Thursday,0,4,First,크린조이,20,13.848945334050512,해당없음,해당없음,크린조이,해당없음,15.791248893771947,0.8730267584314295
2019-02-07 06:40:00,20.0,크린조이 황사 방역마스크 대형 105매,생활용품,59900,2,7,6,Thursday,0,4,Later,대,40,16.0691154687366,해당없음,해당없음,대,해당없음,15.791248893771947,0.8730267584314295
2019-02-07 06:40:00,20.0,크린조이 황사 방역마스크 소형 105매,생활용품,59900,2,7,6,Thursday,0,4,Later,크린조이,40,13.852806342707972,해당없음,해당없음,크린조이,해당없음,15.791248893771947,0.8730267584314295
2019-02-07 20:00:00,20.0,노비타 스마트 비데,생활용품,189000,2,7,20,Thursday,0,3,First,노비타,00,16.872055670914776,해당없음,해당없음,노비타,해당없음,16.42033305305354,1.0437312988883944
2019-02-07 20:20:00,20.0,노비타 스마트 비데,생활용품,189000,2,7,20,Thursday,0,3,Middle,노비타,20,17.69155399205969,해당없음,해당없음,노비타,해당없음,16.42033305305354,1.0437312988883944
2019-02-07 20:40:00,20.0,노비타 스마트 비데,생활용품,189000,2,7,20,Thursday,0,3,Later,노비타,40,18.179665949019185,해당없음,해당없음,노비타,해당없음,16.42033305305354,1.0437312988883944
2019-02-08 14:00:00,20.0,가)세렌셉템버 다이아 체크 리빙박스+압축팩,생활용품,59800,2,8,14,Friday,0,2,First,세렌셉템버,00,16.53337906800382,해당없음,해당없음,세렌셉템버,해당없음,16.05163013077383,0.9682745166645397
2019-02-08 14:20:00,20.0,가)세렌셉템버 다이아 체크 리빙박스+압축팩,생활용품,59800,2,8,14,Friday,0,2,Middle,세렌셉템버,20,17.139790897522328,해당없음,해당없음,세렌셉템버,해당없음,16.05163013077383,0.9682745166645397
2019-02-08 14:40:00,20.0,가)세렌셉템버 다이아 체크 리빙박스+압축팩,생활용품,59800,2,8,14,Friday,0,2,Later,세렌셉템버,40,17.37453755813802,해당없음,해당없음,세렌셉템버,해당없음,16.05163013077383,0.9682745166645397
2019-02-10 18:00:00,20.0,노비타 스마트 비데,생활용품,189000,2,10,18,Sunday,1,1,First,노비타,00,17.00178054308356,해당없음,해당없음,노비타,해당없음,16.399040053422464,0.884196091425239
2019-02-10 18:20:00,20.0,노비타 스마트 비데,생활용품,189000,2,10,18,Sunday,1,1,Middle,노비타,20,17.429747281582113,해당없음,해당없음,노비타,해당없음,16.399040053422464,0.884196091425239
2019-02-10 18:40:00,20.0,노비타 스마트 비데,생활용품,189000,2,10,18,Sunday,1,1,Later,노비타,40,18.016120226578607,해당없음,해당없음,노비타,해당없음,16.399040053422464,0.884196091425239
2019-02-13 20:00:00,20.0,노비타 스마트 비데,생활용품,189000,2,13,20,Wednesday,0,3,First,노비타,00,16.760107419403496,해당없음,해당없음,노비타,해당없음,16.93768417110416,0.9155447552097885
2019-02-13 20:20:00,20.0,노비타 스마트 비데,생활용품,189000,2,13,20,Wednesday,0,3,Middle,노비타,20,17.400972052879723,해당없음,해당없음,노비타,해당없음,16.93768417110416,0.9155447552097885
2019-02-13 20:40:00,20.0,노비타 스마트 비데,생활용품,189000,2,13,20,Wednesday,0,3,Later,노비타,40,17.888137660768756,해당없음,해당없음,노비타,해당없음,16.93768417110416,0.9155447552097885
2019-02-14 07:00:00,20.0,가)세렌셉템버 다이아 체크 리빙박스+압축팩,생활용품,59800,2,14,7,Thursday,0,2,First,세렌셉템버,00,16.09870893715813,해당없음,해당없음,세렌셉템버,해당없음,16.393656190699467,0.8033781579743169
2019-02-14 07:20:00,20.0,가)세렌셉템버 다이아 체크 리빙박스+압축팩,생활용품,59800,2,14,7,Thursday,0,2,Middle,세렌셉템버,20,16.769117905217595,해당없음,해당없음,세렌셉템버,해당없음,16.393656190699467,0.8033781579743169
2019-02-14 07:40:00,20.0,가)세렌셉템버 다이아 체크 리빙박스+압축팩,생활용품,59800,2,14,7,Thursday,0,2,Later,세렌셉템버,40,17.188342758069535,해당없음,해당없음,세렌셉템버,해당없음,16.393656190699467,0.8033781579743169
2019-02-14 19:00:00,20.0,노비타 스마트 비데,생활용품,189000,2,14,19,Thursday,0,3,First,노비타,00,16.713905598629307,해당없음,해당없음,노비타,해당없음,17.067788210048953,0.8230538166283942
2019-02-14 19:20:00,20.0,노비타 스마트 비데,생활용품,189000,2,14,19,Thursday,0,3,Middle,노비타,20,17.27245795473092,해당없음,해당없음,노비타,해당없음,17.067788210048953,0.8230538166283942
2019-02-14 19:40:00,20.0,노비타 스마트 비데,생활용품,189000,2,14,19,Thursday,0,3,Later,노비타,40,17.7817755062401,해당없음,해당없음,노비타,해당없음,17.067788210048953,0.8230538166283942
2019-02-16 23:00:00,20.0,노비타 스마트 비데,생활용품,189000,2,16,23,Saturday,1,4,First,노비타,00,17.089404730585887,해당없음,해당없음,노비타,해당없음,16.38293927427645,1.0671931731127702
2019-02-16 23:20:00,20.0,노비타 스마트 비데,생활용품,189000,2,16,23,Saturday,1,4,Middle,노비타,20,17.737206628088106,해당없음,해당없음,노비타,해당없음,16.38293927427645,1.0671931731127702
2019-02-16 23:40:00,20.0,노비타 스마트 비데,생활용품,189000,2,16,23,Saturday,1,4,Later,노비타,40,17.79593959605648,해당없음,해당없음,노비타,해당없음,16.38293927427645,1.0671931731127702
2019-02-17 06:00:00,20.0,메디쉴드 자동 목 견인기기,생활용품,238000,2,17,6,Sunday,1,4,First,메디쉴드,00,14.903735753745897,일시불,해당없음,메디쉴드,해당없음,16.0164894831908,0.7862095963606229
